iter	Passed	Remaining
925	2618	20000
926	2620	19993
927	2622	19985
928	2624	19979
929	2627	19977
930	2630	19976
931	2633	19969
932	2635	19962
933	2637	19953
934	2639	19945
935	2641	19937
936	2644	19932
937	2646	19926
938	2649	19920
939	2651	19913
940	2653	19906
941	2655	19898
942	2659	19899
943	2661	19893
944	2663	19886
945	2666	19880
946	2668	19872
947	2671	19872
948	2674	19871
949	2676	19863
950	2678	19856
951	2681	19849
952	2683	19845
953	2685	19837
954	2688	19836
955	2691	19832
956	2693	19826
957	2696	19821
958	2698	19814
959	2700	19806
960	2704	19807
961	2706	19801
962	2709	19800
963	2712	19796
964	2714	19789
965	2716	19782
966	2719	19779
967	2721	19772
968	2723	19764
969	2726	19758
970	2728	19751
971	2730	19744
972	2733	19739
973	2736	19737
974	2738	19732
975	2740	19724
976	2743	19717
977	2745	19710
978	2747	19704
979	2750	19700
980	2752	19695
981	2755	19691
982	2757	19685
983	2759	19677
984	2762	19671
985	2765	19669
986	2767	19662
987	2769	19657
988	2772	19651
989	2774	19645
990	2777	19641
991	2779	19638
992	2782	19632
993	2784	19625
994	2786	19618
995	2788	19611
996	2791	19605
997	2793	19599
998	2796	19597
999	2798	19591
1000	2801	19585
1001	2803	19577
1002	2805	19570
1003	2807	19564
1004	2810	19562
1005	2812	19556
1006	2815	19550
1007	2818	19547
1008	2820	19540
1009	2823	19538
1010	2826	19536
1011	2828	19529
1012	2830	19522
1013	2832	19516
1014	2835	19510
1015	2837	19503
1016	2840	19502
1017	2842	19496
1018	2844	19489
1019	2846	19481
1020	2849	19475
1021	2851	19469
1022	2855	19471
1023	2857	19466
1024	2860	19462
1025	2862	19456
1026	2864	19449
1027	2866	19443
1028	2869	19440
1029	2871	19433
1030	2874	19426
1031	2876	19420
1032	2878	19413
1033	2881	19409
1034	2883	19406
1035	2886	19405
1036	2889	19399
1037	2891	19396
1038	2894	19394
1039	2897	19388
1040	2899	19384
1041	2902	19381
1042	2904	19375
1043	2906	19368
1044	2909	19361
1045	2911	19355
1046	2913	19350
1047	2916	19346
1048	2918	19339
1049	2920	19333
1050	2923	19329
1051	2925	19322
1052	2928	19317
1053	2930	19312
1054	2932	19305
1055	2935	19300
1056	2937	19292
1057	2939	19286
1058	2941	19281
1059	2944	19277
1060	2946	19273
1061	2949	19267
1062	2951	19259
1063	2953	19254
1064	2956	19249
1065	2958	19244
1066	2961	19243
1067	2964	19239
1068	2966	19232
1069	2968	19226
1070	2970	19220
1071	2973	19214
1072	2975	19210
1073	2978	19204
1074	2980	19199
1075	2982	19193
1076	2985	19187
1077	2987	19182
1078	2990	19178
1079	2992	19172
1080	2994	19166
1081	2996	19160
1082	2999	19154
1083	3001	19149
1084	3004	19146
1085	3006	19142
1086	3009	19136
1087	3012	19135
1088	3014	19129
1089	3016	19122
1090	3018	19116
1091	3021	19113
1092	3023	19107
1093	3025	19100
1094	3028	19095
1095	3030	19089
1096	3033	19088
1097	3036	19089
1098	3039	19088
1099	3042	19082
1100	3044	19076
1101	3046	19069
1102	3049	19068
1103	3052	19065
1104	3054	19060
1105	3057	19056
1106	3059	19052
1107	3062	19046
1108	3064	19042
1109	3067	19037
1110	3069	19033
1111	3072	19029
1112	3075	19029
1113	3077	19025
1114	3080	19023
1115	3083	19018
1116	3085	19012
1117	3087	19008
1118	3090	19003
1119	3092	18997
1120	3095	18997
1121	3098	18992
1122	3100	18987
1123	3102	18981
1124	3105	18975
1125	3107	18969
1126	3109	18965
1127	3112	18961
1128	3114	18956
1129	3117	18951
1130	3119	18945
1131	3121	18940
1132	3124	18936
1133	3126	18931
1134	3129	18926
1135	3131	18922
1136	3134	18920
1137	3136	18914
1138	3139	18909
1139	3141	18904
1140	3143	18899
1141	3146	18892
1142	3148	18886
1143	3150	18881
1144	3153	18877
1145	3156	18879
1146	3159	18874
1147	3161	18868
1148	3163	18863
1149	3165	18857
1150	3168	18853
1151	3171	18853
1152	3173	18848
1153	3176	18841
1154	3178	18836
1155	3180	18832
1156	3183	18827
1157	3186	18827
1158	3189	18825
1159	3192	18826
1160	3195	18821
1161	3197	18816
1162	3200	18814
1163	3203	18810
1164	3205	18805
1165	3207	18800
1166	3209	18793
1167	3212	18788
1168	3214	18785
1169	3217	18781
1170	3220	18783
1171	3223	18779
1172	3225	18773
1173	3229	18775
1174	3232	18774
1175	3234	18768
1176	3237	18765
1177	3239	18762
1178	3242	18756
1179	3244	18750
1180	3247	18749
1181	3250	18746
1182	3252	18741
1183	3254	18736
1184	3257	18731
1185	3260	18732
1186	3263	18729
1187	3265	18724
1188	3267	18719
1189	3270	18715
1190	3272	18710
1191	3276	18711
1192	3278	18708
1193	3281	18703
1194	3283	18698
1195	3285	18692
1196	3288	18686
1197	3290	18685
1198	3293	18679
1199	3295	18673
1200	3297	18667
1201	3300	18664
1202	3302	18658
1203	3305	18655
1204	3307	18650
1205	3309	18645
1206	3312	18640
1207	3314	18635
1208	3316	18629
1209	3318	18623
1210	3321	18623
1211	3324	18617
1212	3326	18613
1213	3328	18608
1214	3331	18601
1215	3333	18597
1216	3336	18594
1217	3338	18589
1218	3340	18583
1219	3342	18578
1220	3345	18573
1221	3347	18567
1222	3350	18563
1223	3353	18562
1224	3355	18558
1225	3357	18553
1226	3360	18549
1227	3362	18544
1228	3365	18539
1229	3367	18535
1230	3370	18531
1231	3372	18525
1232	3374	18519
1233	3376	18515
1234	3379	18510
1235	3382	18510
1236	3384	18506
1237	3387	18501
1238	3389	18495
1239	3391	18490
1240	3393	18484
1241	3397	18485
1242	3399	18482
1243	3403	18482
1244	3405	18478
1245	3408	18473
1246	3410	18470
1247	3413	18467
1248	3416	18464
1249	3418	18460
1250	3420	18455
1251	3423	18450
1252	3425	18447
1253	3428	18443
1254	3430	18439
1255	3433	18434
1256	3435	18428
1257	3438	18426
1258	3441	18428
1259	3444	18424
1260	3446	18420
1261	3449	18415
1262	3451	18410
1263	3453	18404
1264	3456	18401
1265	3458	18395
1266	3461	18394
1267	3463	18390
1268	3466	18386
1269	3468	18381
1270	3471	18379
1271	3474	18376
1272	3476	18372
1273	3479	18367
1274	3481	18362
1275	3483	18358
1276	3486	18357
1277	3489	18353
1278	3492	18350
1279	3494	18346
1280	3496	18341
1281	3499	18336
1282	3502	18336
1283	3504	18331
1284	3506	18325
1285	3509	18321
1286	3511	18316
1287	3514	18312
1288	3516	18308
1289	3519	18304
1290	3521	18301
1291	3524	18296
1292	3526	18292
1293	3529	18290
1294	3532	18288
1295	3534	18283
1296	3536	18278
1297	3539	18273
1298	3541	18268
1299	3543	18263
1300	3546	18261
1301	3548	18256
1302	3551	18252
1303	3553	18247
1304	3556	18243
1305	3558	18238
1306	3561	18236
1307	3563	18231
1308	3565	18227
1309	3568	18222
1310	3570	18218
1311	3573	18213
1312	3575	18210
1313	3578	18205
1314	3580	18200
1315	3582	18196
1316	3586	18196
1317	3588	18192
1318	3591	18191
1319	3593	18187
1320	3596	18182
1321	3598	18178
1322	3601	18174
1323	3603	18169
1324	3606	18166
1325	3608	18162
1326	3610	18157
1327	3613	18153
1328	3615	18149
1329	3618	18145
1330	3622	18148
1331	3624	18146
1332	3627	18140
1333	3629	18135
1334	3631	18130
1335	3634	18126
1336	3637	18125
1337	3639	18120
1338	3641	18116
1339	3643	18111
1340	3646	18107
1341	3648	18102
1342	3651	18100
1343	3654	18097
1344	3656	18092
1345	3659	18088
1346	3661	18083
1347	3663	18079
1348	3666	18076
1349	3668	18072
1350	3671	18068
1351	3673	18063
1352	3676	18059
1353	3678	18055
1354	3681	18055
1355	3684	18051
1356	3686	18047
1357	3688	18042
1358	3691	18037
1359	3693	18032
1360	3696	18032
1361	3699	18028
1362	3701	18023
1363	3703	18018
1364	3705	18013
1365	3708	18009
1366	3711	18007
1367	3713	18003
1368	3716	17999
1369	3718	17995
1370	3720	17991
1371	3723	17985
1372	3726	17985
1373	3729	17983
1374	3731	17979
1375	3733	17974
1376	3736	17970
1377	3738	17967
1378	3741	17965
1379	3744	17962
1380	3746	17958
1381	3749	17953
1382	3752	17952
1383	3754	17950
1384	3757	17945
1385	3760	17943
1386	3762	17938
1387	3764	17934
1388	3769	17942
1389	3773	17946
1390	3777	17949
1391	3781	17950
1392	3783	17945
1393	3786	17945
1394	3789	17942
1395	3791	17938
1396	3794	17934
1397	3796	17929
1398	3799	17925
1399	3802	17924
1400	3805	17925
1401	3808	17922
1402	3810	17918
1403	3814	17918
1404	3817	17919
1405	3820	17918
1406	3824	17919
1407	3827	17917
1408	3829	17914
1409	3832	17911
1410	3834	17907
1411	3837	17904
1412	3839	17897
1413	3841	17893
1414	3844	17889
1415	3846	17887
1416	3849	17883
1417	3852	17881
